mean,min,max,class
-5.5916057,-365.55887,149.47606,turkmence
-5.297227,-328.09653,147.8935,turkmence
-5.1010566,-345.6088,164.9462,turkmence
-4.9567356,-329.18918,163.6586,turkmence
-4.907721,-344.5078,156.90462,turkmence
-5.010912,-335.4706,165.60988,turkmence
-4.970946,-332.15237,161.64864,turkmence
-4.8038654,-329.08228,143.89484,turkmence
-4.5851464,-309.54272,148.53517,turkmence
-4.5034747,-309.31628,160.86473,turkmence
-4.534838,-315.2857,154.91327,turkmence
-4.7307334,-313.86115,148.75536,turkmence
-4.592206,-317.24426,152.9805,turkmence
-4.6770706,-314.01202,155.04689,turkmence
-4.6776595,-325.6169,157.45045,turkmence
-4.250949,-309.53165,165.23557,turkmence
-4.5458198,-325.44138,158.3706,turkmence
-4.5413074,-305.0557,155.18695,turkmence
-4.378506,-314.3736,152.92903,turkmence
-4.6760497,-311.43176,156.19344,turkmence
-4.236454,-313.7741,150.09076,turkmence
-4.733906,-312.89185,157.31541,turkmence
-4.3066382,-317.7099,164.38017,turkmence
-4.8528676,-315.63214,146.81288,turkmence
-4.7762175,-327.31906,160.50723,turkmence
-4.5819674,-310.23077,156.01389,turkmence
-4.678949,-328.23102,156.65765,turkmence
-4.7584057,-328.85608,162.32564,turkmence
-4.5897593,-323.14267,164.15092,turkmence
-4.9769535,-336.77115,151.24542,turkmence
-5.0108747,-348.7564,148.22858,turkmence
0.31043187,-172.62076,115.862335,turkmence
0.5900239,-178.01237,117.20841,turkmence
-2.1404538,-246.16081,85.359795,turkmence
-3.252754,-286.96716,100.318214,turkmence
-3.1827533,-283.30887,122.84996,turkmence
-3.3480923,-293.88824,121.74819,turkmence
-3.273183,-271.92062,111.29001,turkmence
-3.2652977,-287.6582,107.36138,turkmence
-3.2106311,-275.49396,99.84389,turkmence
-3.0940566,-264.34772,115.72132,turkmence
-3.464528,-319.67545,108.34476,turkmence
-3.2512763,-295.4862,113.26416,turkmence
-2.6760905,-256.66537,122.03827,turkmence
-3.1600251,-358.38223,96.7332,turkmence
-3.3412905,-379.89404,96.552376,turkmence
-2.6761432,-243.10979,122.43707,turkmence
-2.4532208,-249.3624,123.96516,turkmence
-2.7155774,-278.49945,106.84917,turkmence
-2.7066715,-268.0463,134.01126,turkmence
-4.0903525,-244.70312,113.78767,turkmence
-4.50879,-258.72763,120.20818,turkmence
-4.823357,-278.93906,111.71967,turkmence
-4.542152,-261.92932,127.34539,turkmence
-4.4608793,-267.98944,117.20385,turkmence
-4.374091,-267.95193,120.60083,turkmence
-4.434254,-258.48322,122.729294,turkmence
-4.761707,-309.59464,92.5502,turkmence
-3.5123847,-346.81656,104.58745,turkmence
-3.0939205,-298.39185,110.64183,turkmence
-3.6817727,-388.60513,80.301865,turkmence
-3.382204,-283.07803,125.785835,turkmence
-3.5890536,-304.94397,118.857864,turkmence
-3.3524177,-282.34552,114.80464,turkmence
-3.7139523,-299.04727,115.96464,turkmence
-3.5755343,-275.13034,107.36629,turkmence
-3.5670507,-277.68393,126.41296,turkmence
-3.5237875,-287.33408,120.89241,turkmence
